date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:14	72881/72881	---M--	200	added ('OK')	image/jpeg	etag:%221eaa67f94638d0a850bf9ff9f768a7df%22	https://artlogic-res.cloudinary.com/w_1600,h_1000,c_limit,f_auto,fl_lossy,q_auto:good/ws-unitlondon3/usr/images/artists/hero_image_mobile/228/_dsc3885.jpg	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/artlogic-res.cloudinary.com/w_1600,h_1000,c_limit,f_auto,fl_lossy,q_auto_good/ws-unitlondon3/usr/images/artists/hero_image_mobile/228/_dsc3885.jpg	(from https://unitlondon.com/artists/228-jeremy-olson/)
14:58:14	64676/64676	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:14%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9237/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9237/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:14	64155/64155	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:14%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9232/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9232/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:15	64383/64383	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:14%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9236/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9236/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:15	64245/64245	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:15%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9230/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9230/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:15	50497/50497	---M--	200	added ('OK')	application/pdf	etag:%22c541-5dc74ee83a3b0%22	https://unitlondon.com/usr/documents/artists/cv_download_url/228/jeremy-olson-cv.pdf	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/usr/documents/artists/cv_download_url/228/jeremy-olson-cv.pdf	(from https://unitlondon.com/artists/228-jeremy-olson/)
14:58:17	184473/184473	---M--	200	added ('OK')	image/jpeg	etag:%22d6ed3c2e5dfa02197432e75eff4fae8c%22	https://artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto:good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3866.jpg	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto_good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3866.jpg	(from https://unitlondon.com/artists/228-jeremy-olson/)
14:58:17	64211/64211	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:16%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9580/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9580/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:17	64747/64747	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:16%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9228/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9228/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:18	63898/63898	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:16%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9579/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9579/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:18	61799/61799	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:18%20GMT	https://unitlondon.com/content/feature/1980/detail/image9231/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9231/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:19	129203/129203	---M--	200	added ('OK')	image/jpeg	etag:%225f224cfa4fe0b68bd0826b52dbd521a8%22	https://artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto:good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3804.jpg	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto_good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3804.jpg	(from https://unitlondon.com/artists/228-jeremy-olson/)
